node_id,node_type,label,degree,weighted_degree,betweenness
A::A18,activity,Реализация региональных программ по охране материнства и детства во всех регионах,5,10,0.02799951620706338
A::A08,activity,Реализация региональных программ по повышению рождаемости,3,6,0.031722993987144954
A::A13,activity,Создание женских консультаций,4,6,0.05266086115142719
A::A01,activity,Создание не менее 1000 комнат матери и ребенка и групп кратковременного пребывания детей в вузах,3,5,0.04716981132075471
A::A10,activity,Региональные меры поддержки многодетных семей и меры повышения рождаемости в развитие Указа Президента № 63,3,5,0.026669085631349784
A::A26,activity,"Оснащение театров, музеев, детских школ искусств, училищ, кинозалов",3,5,0.007982583454281567
A::A14,activity,Оснащение перинатальных центров и родильных домов медицинскими изделиями,3,4,0.07799951620706336
A::A15,activity,Оснащение детских больниц медицинскими изделиями,2,4,0.0026003870343492986
A::A02,activity,Предоставление материнского капитала,3,3,0.04996025986592022
A::A03,activity,Предоставление Единого пособия нуждающимся семьям,2,3,0.023947750362844702
A::A04,activity,Предоставление семейной ипотеки,3,3,0.04996025986592022
A::A05,activity,Предоставление ежегодной семейной выплаты,2,3,0.023947750362844702
A::A06,activity,Адресное строительство детских садов в населенных пунктах с выявленной потребностью,2,3,0.011611030478955007
A::A07,activity,Оснащение образовательных пространств детских садов,2,3,0.011611030478955007
A::A09,activity,Государственная социальная помощь на основании социального контракта,2,3,0.023947750362844702
A::A11,activity,Выплата на погашение ипотеки многодетным семьям,3,3,0.04996025986592022
A::A12,activity,Создание групп продленного дня для обучающихся 1–4 классов,2,3,0.023947750362844702
A::A16,activity,Приобретение мобильных медицинских комплексов для детских поликлиник,2,3,0.0026003870343492986
A::A17,activity,Проведение циклов ЭКО,2,3,0.013933236574746008
A::A20,activity,Реализация региональных программ «Активное долголетие»,2,3,0.005805515239477504
A::A24,activity,Строительство и модернизация детских школ искусств,2,3,0.0007256894049346878
A::A25,activity,"Модернизация культурно-досуговых учреждений, библиотек, театров и музеев",2,3,0.0007256894049346878
A::A27,activity,Создание модельных библиотек и памятных мест,2,3,0.0007256894049346878
A::A28,activity,Творческие проекты НКО и выставочные проекты музеев по ценностям и идентичности,2,3,0.005805515239477504
A::A29,activity,Культурно-просветительские программы для школьников,2,3,0.005805515239477504
A::A31,activity,Пушкинская карта,2,3,0.0007256894049346878
A::A21,activity,Развивающие и образовательные мероприятия в центрах общения для граждан старшего поколения,1,2,0.0
A::A22,activity,Предоставление услуг долговременного ухода нуждающимся,1,2,0.0
A::A30,activity,Конкурс «Это у нас семейное»,1,2,0.0
A::A19,activity,Ремонт объектов социального обслуживания,1,1,0.0
A::A23,activity,Ввод объектов для размещения граждан в стационарных организациях социального обслуживания,1,1,0.0
I::2.14.Я.2,indicator,2.14.Я.2,11,13,0.2972423802612482
I::2.14.Я5.2,indicator,2.14.Я5.2,7,13,0.02576197387518142
I::2.14.Я.1,indicator,2.14.Я.1,7,8,0.1459672403068628
I::2.14.Я.3,indicator,2.14.Я.3,5,7,0.03037528509226621
I::2.14.Я3.3,indicator,2.14.Я3.3,4,7,0.052334300919206586
I::2.14.Я3.4,indicator,2.14.Я3.4,3,6,0.004051765844218674
I::2.14.Я3.2,indicator,2.14.Я3.2,3,5,0.013038219641993228
I::2.14.Я.4,indicator,2.14.Я.4,4,5,0.008708272859216255
I::2.14.Я.6,indicator,2.14.Я.6,5,5,0.0050798258345428155
I::2.14.Я5.1,indicator,2.14.Я5.1,3,5,0.007619738751814224
I::2.14.Я1.3,indicator,2.14.Я1.3,2,4,0.000362844702467344
I::2.14.Я3.5,indicator,2.14.Я3.5,2,4,0.006071601354620223
I::2.14.Я3.1,indicator,2.14.Я3.1,3,4,0.015142718916303822
I::2.14.Я4.1,indicator,2.14.Я4.1,2,4,0.00362844702467344
I::2.14.Я1.4,indicator,2.14.Я1.4,1,2,0.0
I::2.14.Я1.5,indicator,2.14.Я1.5,1,2,0.0
I::2.14.Я1.1,indicator,2.14.Я1.1,1,2,0.0
I::2.14.Я2.4,indicator,2.14.Я2.4,1,2,0.0
I::2.14.Я2.1,indicator,2.14.Я2.1,1,2,0.0
I::2.14.Я2.3,indicator,2.14.Я2.3,1,2,0.0
I::2.14.Я2.2,indicator,2.14.Я2.2,1,2,0.0
I::2.14.Я.5,indicator,2.14.Я.5,1,2,0.0
I::2.14.Я1.2,indicator,2.14.Я1.2,1,1,0.0
