source_file,indicator_code,indicator_name,file
data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,figures/trends/data_20_.xls_2.14.Я.1_trend_forecast.png
data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),figures/trends/data_21_.xls_2.14.Я.2_trend_forecast.png
data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),figures/trends/data_22_.xls_2.14.Я.3_trend_forecast.png
data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",figures/trends/data_23_.xls_2.14.Я.4_trend_forecast.png
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",figures/trends/data_24_.xls_2.14.Я.5_trend_forecast.png
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",figures/trends/data_25_.xls_2.14.Я.6_trend_forecast.png
data (26).xls,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",figures/trends/data_26_.xls_2.14.Я1.2_trend_forecast.png
data (27).xls,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",figures/trends/data_27_.xls_2.14.Я1.3_trend_forecast.png
data (28).xls,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",figures/trends/data_28_.xls_2.14.Я2.4_trend_forecast.png
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,figures/trends/data_29_.xls_2.14.Я3.1_trend_forecast.png
data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",figures/trends/data_30_.xls_2.14.Я3.2_trend_forecast.png
data (31).xls,2.14.Я3.3,Младенческая смертность,figures/trends/data_31_.xls_2.14.Я3.3_trend_forecast.png
data (32).xls,2.14.Я3.3,Младенческая смертность,figures/trends/data_32_.xls_2.14.Я3.3_trend_forecast.png
data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",figures/trends/data_33_.xls_2.14.Я3.4_trend_forecast.png
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",figures/trends/data_34_.xls_2.14.Я3.5_trend_forecast.png
data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,figures/trends/data_35_.xls_2.14.Я5.2_trend_forecast.png
